epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.479,1.07618,1.15052,1.17711,0.78013,0.68503,0.76926,0.59391,0.92958,0.76979,1.02043,1.785e-05,1.785e-05,1.785e-05
2,491.16,1.11886,1.15442,1.2078,0.83295,0.69431,0.7869,0.60833,0.9154,0.74818,1.01235,3.56726e-05,3.56726e-05,3.56726e-05
3,700.789,1.06632,0.99692,1.16634,0.81752,0.7182,0.79551,0.61387,0.90714,0.73794,1.00648,5.22386e-05,5.22386e-05,5.22386e-05
4,908.625,1.07338,1.0524,1.18712,0.79272,0.75321,0.80743,0.62168,0.89651,0.72927,0.99974,6.7548e-05,6.7548e-05,6.7548e-05
5,1126.34,1.02043,0.90293,1.14874,0.79781,0.75699,0.816,0.63657,0.88242,0.72698,0.99333,8.16007e-05,8.16007e-05,8.16007e-05
6,1330.88,0.96115,0.87301,1.09134,0.81267,0.75036,0.81236,0.64007,0.86581,0.72773,0.98766,9.43968e-05,9.43968e-05,9.43968e-05
7,1525.64,1.07568,0.98262,1.162,0.83965,0.74444,0.82182,0.65013,0.85684,0.71888,0.9851,9.5438e-05,9.5438e-05,9.5438e-05
8,1717.53,0.9759,0.84682,1.10039,0.85311,0.73237,0.82462,0.649,0.85709,0.70197,0.98632,9.1511e-05,9.1511e-05,9.1511e-05
9,1909.57,0.95811,0.87042,1.09159,0.82175,0.76867,0.82886,0.65821,0.84683,0.68304,0.98197,8.7584e-05,8.7584e-05,8.7584e-05
10,2101.65,0.96605,0.81221,1.08703,0.84809,0.75201,0.83126,0.66384,0.83846,0.66346,0.97669,8.3657e-05,8.3657e-05,8.3657e-05
11,2298.63,0.99043,0.84128,1.10687,0.84569,0.76829,0.85184,0.67556,0.82535,0.65109,0.96888,7.973e-05,7.973e-05,7.973e-05
12,2545.64,0.94094,0.85149,1.10663,0.87082,0.76644,0.85674,0.68232,0.81741,0.63987,0.96456,7.5803e-05,7.5803e-05,7.5803e-05
13,2745.29,0.92198,0.79361,1.08485,0.88102,0.77731,0.86452,0.69374,0.81122,0.62225,0.96069,7.1876e-05,7.1876e-05,7.1876e-05
14,2982.15,0.87286,0.78393,1.07296,0.87725,0.78663,0.86976,0.70397,0.80384,0.60264,0.95431,6.7949e-05,6.7949e-05,6.7949e-05
15,3194.64,0.90697,0.78141,1.07606,0.83227,0.82344,0.8719,0.7101,0.7962,0.58615,0.95044,6.4022e-05,6.4022e-05,6.4022e-05
16,3384.25,0.8788,0.73307,1.05003,0.82595,0.83195,0.87414,0.71403,0.78815,0.57632,0.9459,6.0095e-05,6.0095e-05,6.0095e-05
17,3578.93,0.92988,0.76706,1.06434,0.86952,0.81751,0.87341,0.71991,0.78475,0.57212,0.94339,5.6168e-05,5.6168e-05,5.6168e-05
18,3767.45,0.88497,0.76227,1.07426,0.88345,0.81482,0.87657,0.7225,0.77944,0.57099,0.94047,5.2241e-05,5.2241e-05,5.2241e-05
19,3959.6,0.86603,0.67914,1.03937,0.89644,0.8131,0.8803,0.72473,0.7707,0.56226,0.93772,4.8314e-05,4.8314e-05,4.8314e-05
20,4151.65,0.86405,0.70377,1.05722,0.90786,0.80576,0.88418,0.72834,0.76529,0.55325,0.93443,4.4387e-05,4.4387e-05,4.4387e-05
21,4343.11,0.92168,0.80783,1.06152,0.89845,0.80722,0.88283,0.72624,0.76545,0.55721,0.93226,4.046e-05,4.046e-05,4.046e-05
22,4529.29,0.93497,0.81211,1.06147,0.89531,0.80026,0.87965,0.72109,0.77284,0.57096,0.9354,3.6533e-05,3.6533e-05,3.6533e-05
23,4721.84,0.87398,0.71157,1.0188,0.88932,0.79983,0.87593,0.71369,0.77912,0.57567,0.93882,3.2606e-05,3.2606e-05,3.2606e-05
24,4916.97,0.88087,0.71004,1.02418,0.8803,0.80478,0.87388,0.71303,0.78279,0.57698,0.94061,2.8679e-05,2.8679e-05,2.8679e-05
25,5103.13,0.8825,0.70393,1.02947,0.87923,0.80383,0.87684,0.71141,0.7837,0.57893,0.9402,2.4752e-05,2.4752e-05,2.4752e-05
26,5293.14,0.90222,0.75831,1.04037,0.88454,0.79924,0.877,0.7128,0.78303,0.58113,0.93905,2.0825e-05,2.0825e-05,2.0825e-05
27,5492.95,0.88172,0.68479,1.03428,0.88392,0.80175,0.87577,0.71643,0.77822,0.57838,0.93719,1.6898e-05,1.6898e-05,1.6898e-05
28,5685.06,0.82909,0.62017,0.99784,0.88496,0.80487,0.87531,0.71797,0.77226,0.57584,0.93471,1.2971e-05,1.2971e-05,1.2971e-05
29,5881.99,0.82706,0.63777,0.98504,0.88946,0.80355,0.87981,0.71784,0.77297,0.57342,0.93509,9.044e-06,9.044e-06,9.044e-06
30,6074,0.82183,0.62053,1.01136,0.886,0.8066,0.87504,0.72068,0.76849,0.57462,0.93313,5.117e-06,5.117e-06,5.117e-06
